id,dataset,seed,subsample,repeat,AUROC,F1,Recall,Precision,runtime,lag,sum,lambda_a,lambda_w,w_thres,alpha
var,synth,indep,8,1,0.7,0.4,1.0,0.25,0.0108494758605957,5.0,max,,,,
var,synth,indep,9,1,0.7,0.4,1.0,0.25,0.0097074508666992,5.0,max,,,,
var,synth,indep,10,1,0.7,0.4,1.0,0.25,0.0093755722045898,5.0,max,,,,
var,synth,indep,20,1,0.7,0.4,1.0,0.25,0.0074245929718017,5.0,max,,,,
var,synth,indep,50,1,0.7,0.4,1.0,0.25,0.0067346096038818,5.0,max,,,,
var,synth,indep,100,1,0.7,0.4,1.0,0.25,0.0051591396331787,5.0,max,,,,
var,synth,x_cause_y,1,1,0.75,0.6666666666666666,1.0,0.5,0.0469958782196044,5.0,max,,,,
var,synth,x_cause_y,2,1,0.75,0.6666666666666666,1.0,0.5,0.026430606842041,5.0,max,,,,
var,synth,x_cause_y,3,1,0.75,0.6666666666666666,1.0,0.5,0.0199215412139892,5.0,max,,,,
var,synth,x_cause_y,4,1,0.75,0.6666666666666666,1.0,0.5,0.0160815715789794,5.0,max,,,,
var,synth,x_cause_y,5,1,0.75,0.6666666666666666,1.0,0.5,0.013362169265747,5.0,max,,,,
var,synth,x_cause_y,6,1,0.75,0.6666666666666666,1.0,0.5,0.0118021965026855,5.0,max,,,,
var,synth,x_cause_y,7,1,0.75,0.6666666666666666,1.0,0.5,0.0118324756622314,5.0,max,,,,
var,synth,x_cause_y,8,1,0.75,0.6666666666666666,1.0,0.5,0.0101819038391113,5.0,max,,,,
var,synth,x_cause_y,9,1,0.75,0.6666666666666666,1.0,0.5,0.0102665424346923,5.0,max,,,,
var,synth,x_cause_y,10,1,0.75,0.6666666666666666,1.0,0.5,0.0093073844909667,5.0,max,,,,
var,synth,x_cause_y,20,1,0.75,0.6666666666666666,1.0,0.5,0.0076251029968261,5.0,max,,,,
var,synth,x_cause_y,50,1,0.75,0.6666666666666666,1.0,0.5,0.005885362625122,5.0,max,,,,
var,synth,x_cause_y,100,1,0.75,0.6666666666666666,1.0,0.5,0.0059068202972412,5.0,max,,,,
var,synth,indep,1,1,0.7,0.4,1.0,0.25,0.0596439838409423,10.0,max,,,,
var,synth,indep,2,1,0.7,0.4,1.0,0.25,0.0325241088867187,10.0,max,,,,
